@frequency,country,dataset_code,dataset_name,frequency,indexed_at,indicator,original_period,original_value,period,provider_code,series_code,series_name,value
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1960,NA,1960-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1961,NA,1961-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1962,NA,1962-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1963,NA,1963-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1964,NA,1964-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1965,NA,1965-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1966,NA,1966-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1967,NA,1967-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1968,NA,1968-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1969,NA,1969-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1970,NA,1970-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1971,NA,1971-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1972,NA,1972-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1973,NA,1973-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1974,NA,1974-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1975,NA,1975-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1976,NA,1976-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
annual,ARG,WDI,World Development Indicators,A,2024-06-29T07:30:16Z,FP.CPI.TOTL.ZG,1977,NA,1977-01-01,WB,A-FP.CPI.TOTL.ZG-ARG,"Annual – Inflation, consumer prices (annual %) – Argentina",NA
